trader,round,day,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT,total
copy1-2,1,-2,1667,79543,81210
copy1-2,1,-1,2271,79192,81463
copy1-2,1,0,1634,79319,80953
copy1-2,1,TOTAL,5572,238054,243626
copy1-6,1,-2,14350,79543,93893
copy1-6,1,-1,17958,79192,97150
copy1-6,1,0,14478,79319,93797
copy1-6,1,TOTAL,46786,238054,284840
