trader,round,day,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT,total
round1_draft,1,-2,11473,18776,30250
round1_draft,1,-1,16155,61633,77788
round1_draft,1,0,14505,75804,90309
round1_draft,1,TOTAL,42133,156213,198347
round1_variant_pepper250,1,-2,11473,16338,27810
round1_variant_pepper250,1,-1,16155,63556,79711
round1_variant_pepper250,1,0,14505,76296,90801
round1_variant_pepper250,1,TOTAL,42133,156190,198322
round1_variant_pepper_tight,1,-2,11473,74112,85585
round1_variant_pepper_tight,1,-1,16155,78678,94833
round1_variant_pepper_tight,1,0,14505,79013,93518
round1_variant_pepper_tight,1,TOTAL,42133,231803,273936
round1_variant_osmium_make,1,-2,14359,18776,33136
round1_variant_osmium_make,1,-1,15930,61633,77563
round1_variant_osmium_make,1,0,14622,75804,90426
round1_variant_osmium_make,1,TOTAL,44911,156213,201125
round1_variant_osmium_wall_take,1,-2,12372,18776,31148
round1_variant_osmium_wall_take,1,-1,11853,61633,73486
round1_variant_osmium_wall_take,1,0,9696,75804,85500
round1_variant_osmium_wall_take,1,TOTAL,33921,156213,190134
