trader,round,day,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT,total
copy1-1,1,-2,18114,79649,97763
copy1-1,1,-1,19816,79308,99124
copy1-1,1,0,17305,79381,96686
copy1-1,1,TOTAL,55235,238338,293573
copy1-2,1,-2,1667,79543,81210
copy1-2,1,-1,2271,79192,81463
copy1-2,1,0,1634,79319,80953
copy1-2,1,TOTAL,5572,238054,243626
copy1-3,1,-2,6606,20989,27595
copy1-3,1,-1,7824,21541,29365
copy1-3,1,0,7240,21396,28636
copy1-3,1,TOTAL,21670,63926,85596
copy1-4,1,-2,16998,79644,96642
copy1-4,1,-1,17371,79368,96739
copy1-4,1,0,17051,79397,96448
copy1-4,1,TOTAL,51420,238409,289829
copy1-5,1,-2,11621,79543,91164
copy1-5,1,-1,13310,79192,92502
copy1-5,1,0,11667,79319,90986
copy1-5,1,TOTAL,36598,238054,274652
copy1-6,1,-2,14350,79543,93893
copy1-6,1,-1,17958,79192,97150
copy1-6,1,0,14478,79319,93797
copy1-6,1,TOTAL,46786,238054,284840
copy1-7,1,-2,7126,4702,11829
copy1-7,1,-1,6725,4686,11411
copy1-7,1,0,6466,4517,10983
copy1-7,1,TOTAL,20317,13905,34223
copy1-8,1,-2,0,-74920,-74920
copy1-8,1,-1,0,-74317,-74317
copy1-8,1,0,0,-71761,-71761
copy1-8,1,TOTAL,0,-220998,-220998
