trader,round,day,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT,total
copy1-1,1,-2,18114,79649,97763
copy1-1,1,-1,19816,79308,99124
copy1-1,1,0,17305,79381,96686
copy1-1,1,TOTAL,55235,238338,293573
copy1-6,1,-2,14350,79543,93893
copy1-6,1,-1,17958,79192,97150
copy1-6,1,0,14478,79319,93797
copy1-6,1,TOTAL,46786,238054,284840
round1_hybrid_kalman_res,1,-2,16234,79649,95882
round1_hybrid_kalman_res,1,-1,16748,79308,96056
round1_hybrid_kalman_res,1,0,16310,79381,95691
round1_hybrid_kalman_res,1,TOTAL,49292,238338,287629
round1_hybrid_kalman_simple,1,-2,17654,79649,97304
round1_hybrid_kalman_simple,1,-1,19071,79308,98379
round1_hybrid_kalman_simple,1,0,17860,79381,97241
round1_hybrid_kalman_simple,1,TOTAL,54585,238338,292924
round1_hybrid_stable_res,1,-2,15274,79649,94922
round1_hybrid_stable_res,1,-1,15510,79308,94818
round1_hybrid_stable_res,1,0,15240,79381,94621
round1_hybrid_stable_res,1,TOTAL,46024,238338,284361
round1_hybrid_const_res,1,-2,17826,79649,97474
round1_hybrid_const_res,1,-1,19068,79308,98376
round1_hybrid_const_res,1,0,17884,79381,97265
round1_hybrid_const_res,1,TOTAL,54778,238338,293115
