trader,round,day,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT,total
copy1-1,1,-2,18114,79649,97763
copy1-1,1,-1,19816,79308,99124
copy1-1,1,0,17305,79381,96686
copy1-1,1,TOTAL,55235,238338,293573
copy1-9,1,-2,18418,79644,98062
copy1-9,1,-1,19503,79368,98871
copy1-9,1,0,18581,79397,97978
copy1-9,1,TOTAL,56502,238409,294911
round1_hybrid_kalman_aggr,1,-2,18005,79649,97654
round1_hybrid_kalman_aggr,1,-1,19285,79308,98593
round1_hybrid_kalman_aggr,1,0,18161,79381,97542
round1_hybrid_kalman_aggr,1,TOTAL,55451,238338,293789
