trader,round,day,ASH_COATED_OSMIUM,INTARIAN_PEPPER_ROOT,total
copy1-5,1,-2,11621,79543,91164
copy1-5,1,-1,13310,79192,92502
copy1-5,1,0,11667,79319,90986
copy1-5,1,TOTAL,36598,238054,274652
copy1-5-hybrid,1,-2,8721,79543,88264
copy1-5-hybrid,1,-1,11198,79192,90390
copy1-5-hybrid,1,0,9408,79319,88727
copy1-5-hybrid,1,TOTAL,29327,238054,267381
copy1-5-make_rev,1,-2,11924,79543,91467
copy1-5-make_rev,1,-1,13276,79192,92468
copy1-5-make_rev,1,0,11484,79319,90803
copy1-5-make_rev,1,TOTAL,36684,238054,274738
copy1-5-make,1,-2,12132,79543,91674
copy1-5-make,1,-1,12944,79192,92136
copy1-5-make,1,0,10699,79319,90018
copy1-5-make,1,TOTAL,35775,238054,273828
copy1-5-take,1,-2,3392,79543,82936
copy1-5-take,1,-1,4389,79192,83581
copy1-5-take,1,0,3470,79319,82789
copy1-5-take,1,TOTAL,11251,238054,249306
